index,Overs,Maidens,Runs,Wickets,Economy,Average,SR,Opposition,Ground,Start_Date,Year
0,31.0,8.0,138.0,5,4.45,27.6,37.2,Zimbabwe,Lord's,2003-05-22,2003
1,33.0,10.0,85.0,6,2.57,14.16,33.0,Zimbabwe,Chester-le-Street,2003-06-05,2003
2,26.0,3.0,129.0,1,4.96,129.0,156.0,South Africa,Birmingham,2003-07-24,2003
3,27.0,6.0,90.0,2,3.33,45.0,81.0,South Africa,Lord's,2003-07-31,2003
4,39.5,8.0,119.0,7,2.98,17.0,34.1,South Africa,Nottingham,2003-08-14,2003
5,34.0,11.0,119.0,2,3.5,59.5,102.0,South Africa,Leeds,2003-08-21,2003
6,35.0,7.0,141.0,3,4.02,47.0,70.0,South Africa,The Oval,2003-09-04,2003
8,16.3,4.0,60.0,2,3.63,30.0,49.5,West Indies,Birmingham,2004-07-29,2004
9,16.3,2.0,71.0,1,4.3,71.0,99.0,West Indies,Manchester,2004-08-12,2004
10,22.1,2.0,88.0,4,3.96,22.0,33.2,West Indies,The Oval,2004-08-19,2004
11,34.0,4.0,149.0,2,4.38,74.5,102.0,South Africa,Johannesburg,2005-01-13,2005
12,31.1,10.0,79.0,6,2.53,13.16,31.1,India,Wankhede,2006-03-18,2006
13,38.0,7.0,195.0,1,5.13,195.0,228.0,Australia,Brisbane,2006-11-23,2006
14,25.2,3.0,108.0,1,4.26,108.0,152.0,Australia,Adelaide,2006-12-01,2006
15,30.0,8.0,110.0,3,3.66,36.66,60.0,Australia,Sydney,2007-01-02,2007
16,49.2,12.0,125.0,7,2.53,17.85,42.2,India,Lord's,2007-07-19,2007
17,42.0,6.0,157.0,1,3.73,157.0,252.0,India,Nottingham,2007-07-27,2007
18,55.0,13.0,216.0,6,3.92,36.0,55.0,India,The Oval,2007-08-09,2007
19,38.4,7.0,167.0,2,4.31,83.5,116.0,Sri Lanka,Kandy,2007-12-01,2007
20,35.0,6.0,130.0,7,3.71,18.57,30.0,New Zealand,Wellington,2008-03-13,2008
21,24.0,3.0,153.0,1,6.37,153.0,144.0,New Zealand,Napier,2008-03-22,2008
22,39.0,10.0,130.0,5,3.33,26.0,46.8,New Zealand,Lord's,2008-05-15,2008
23,28.3,1.0,139.0,5,4.87,27.8,34.2,New Zealand,Manchester,2008-05-23,2008
24,36.0,11.0,98.0,9,2.72,10.88,24.0,New Zealand,Nottingham,2008-06-05,2008
25,53.0,14.0,114.0,3,2.15,38.0,106.0,South Africa,Lord's,2008-07-10,2008
